year,destination,origin,type,Value
2014,Argentina,Philippines,Asylum-seekers,*
2014,Argentina,Philippines,Refugees (incl. refugee-like situations),
2014,Argentina,Portugal,Asylum-seekers,*
2014,Argentina,Portugal,Refugees (incl. refugee-like situations),
2014,Argentina,Paraguay,Asylum-seekers,8
2014,Argentina,Paraguay,Refugees (incl. refugee-like situations),8
2014,Argentina,Palestinian,Asylum-seekers,*
2014,Argentina,Palestinian,Refugees (incl. refugee-like situations),*
2014,Argentina,Romania,Asylum-seekers,*
2014,Argentina,Romania,Refugees (incl. refugee-like situations),54
2014,Argentina,Russian Federation,Asylum-seekers,29
2014,Argentina,Russian Federation,Refugees (incl. refugee-like situations),62
2014,Argentina,Rwanda,Asylum-seekers,
2014,Argentina,Rwanda,Refugees (incl. refugee-like situations),*
2014,Argentina,Sudan,Asylum-seekers,*
2014,Argentina,Sudan,Refugees (incl. refugee-like situations),*
2014,Argentina,Senegal,Asylum-seekers,56
2014,Argentina,Senegal,Refugees (incl. refugee-like situations),65
2014,Argentina,Singapore,Asylum-seekers,*
2014,Argentina,Singapore,Refugees (incl. refugee-like situations),
2014,Argentina,Sierra Leone,Asylum-seekers,*
2014,Argentina,Sierra Leone,Refugees (incl. refugee-like situations),41
2014,Argentina,El Salvador,Asylum-seekers,*
2014,Argentina,El Salvador,Refugees (incl. refugee-like situations),13
2014,Argentina,Somalia,Asylum-seekers,*
2014,Argentina,Somalia,Refugees (incl. refugee-like situations),5
2014,Argentina,Serbia and Kosovo (S/RES/1244 (1999)),Asylum-seekers,*
2014,Argentina,Serbia and Kosovo (S/RES/1244 (1999)),Refugees (incl. refugee-like situations),
2014,Argentina,Slovakia,Asylum-seekers,*
2014,Argentina,Slovakia,Refugees (incl. refugee-like situations),
2014,Argentina,Syrian Arab Rep.,Asylum-seekers,22
2014,Argentina,Syrian Arab Rep.,Refugees (incl. refugee-like situations),233
2014,Argentina,Chad,Asylum-seekers,
2014,Argentina,Chad,Refugees (incl. refugee-like situations),*
2014,Argentina,Togo,Asylum-seekers,*
2014,Argentina,Togo,Refugees (incl. refugee-like situations),*
2014,Argentina,Thailand,Asylum-seekers,*
2014,Argentina,Thailand,Refugees (incl. refugee-like situations),
2014,Argentina,Turkmenistan,Asylum-seekers,
2014,Argentina,Turkmenistan,Refugees (incl. refugee-like situations),*
2014,Argentina,Tunisia,Asylum-seekers,*
2014,Argentina,Tunisia,Refugees (incl. refugee-like situations),*
2014,Argentina,Turkey,Asylum-seekers,*
2014,Argentina,Turkey,Refugees (incl. refugee-like situations),15
2014,Argentina,United Rep. of Tanzania,Asylum-seekers,*
2014,Argentina,United Rep. of Tanzania,Refugees (incl. refugee-like situations),
2014,Argentina,Ukraine,Asylum-seekers,89
2014,Argentina,Ukraine,Refugees (incl. refugee-like situations),24
2014,Argentina,United States of America,Asylum-seekers,*
2014,Argentina,United States of America,Refugees (incl. refugee-like situations),*
2014,Argentina,Venezuela (Bolivarian Republic of),Asylum-seekers,5
2014,Argentina,Venezuela (Bolivarian Republic of),Refugees (incl. refugee-like situations),*
2014,Argentina,Stateless,Asylum-seekers,
2014,Argentina,Stateless,Refugees (incl. refugee-like situations),10
2014,Argentina,Various/Unknown,Asylum-seekers,*
2014,Argentina,Various/Unknown,Refugees (incl. refugee-like situations),550
2014,Argentina,Yemen,Asylum-seekers,
2014,Argentina,Yemen,Refugees (incl. refugee-like situations),15
2014,Argentina,South Africa,Asylum-seekers,*
2014,Argentina,South Africa,Refugees (incl. refugee-like situations),*
2014,Argentina,Zimbabwe,Asylum-seekers,
2014,Argentina,Zimbabwe,Refugees (incl. refugee-like situations),*
2014,Armenia,Armenia,Asylum-seekers,
2014,Armenia,Armenia,Refugees (incl. refugee-like situations),
2014,Armenia,Azerbaijan,Asylum-seekers,*
2014,Armenia,Azerbaijan,Refugees (incl. refugee-like situations),1554
2014,Armenia,Benin,Asylum-seekers,*
2014,Armenia,Benin,Refugees (incl. refugee-like situations),
2014,Armenia,Côte d'Ivoire,Asylum-seekers,*
2014,Armenia,Côte d'Ivoire,Refugees (incl. refugee-like situations),6
2014,Armenia,Cameroon,Asylum-seekers,*
2014,Armenia,Cameroon,Refugees (incl. refugee-like situations),
2014,Armenia,Congo,Asylum-seekers,*
2014,Armenia,Congo,Refugees (incl. refugee-like situations),
2014,Armenia,Ethiopia,Asylum-seekers,
2014,Armenia,Ethiopia,Refugees (incl. refugee-like situations),*
2014,Armenia,Georgia,Asylum-seekers,*
2014,Armenia,Georgia,Refugees (incl. refugee-like situations),8
2014,Armenia,Ghana,Asylum-seekers,*
2014,Armenia,Ghana,Refugees (incl. refugee-like situations),
2014,Armenia,Guinea,Asylum-seekers,*
2014,Armenia,Guinea,Refugees (incl. refugee-like situations),
2014,Armenia,Iran (Islamic Rep. of),Asylum-seekers,20
2014,Armenia,Iran (Islamic Rep. of),Refugees (incl. refugee-like situations),27
2014,Armenia,Iraq,Asylum-seekers,*
2014,Armenia,Iraq,Refugees (incl. refugee-like situations),979
2014,Armenia,Kazakhstan,Asylum-seekers,
2014,Armenia,Kazakhstan,Refugees (incl. refugee-like situations),*
2014,Armenia,Lebanon,Asylum-seekers,*
2014,Armenia,Lebanon,Refugees (incl. refugee-like situations),18
2014,Armenia,Mali,Asylum-seekers,*
2014,Armenia,Mali,Refugees (incl. refugee-like situations),
2014,Armenia,Palestinian,Asylum-seekers,*
2014,Armenia,Palestinian,Refugees (incl. refugee-like situations),6
2014,Armenia,Russian Federation,Asylum-seekers,*
2014,Armenia,Russian Federation,Refugees (incl. refugee-like situations),*
2014,Armenia,Syrian Arab Rep.,Asylum-seekers,9
2014,Armenia,Syrian Arab Rep.,Refugees (incl. refugee-like situations),14994
2014,Armenia,Turkey,Asylum-seekers,*
2014,Armenia,Turkey,Refugees (incl. refugee-like situations),*
2014,Armenia,Ukraine,Asylum-seekers,27
2014,Armenia,Ukraine,Refugees (incl. refugee-like situations),43
2014,Armenia,United States of America,Asylum-seekers,*
2014,Armenia,United States of America,Refugees (incl. refugee-like situations),
2014,Antigua and Barbuda,Syrian Arab Rep.,Asylum-seekers,*
2014,Antigua and Barbuda,Syrian Arab Rep.,Refugees (incl. refugee-like situations),
2014,Australia,Afghanistan,Asylum-seekers,1347
2014,Australia,Afghanistan,Refugees (incl. refugee-like situations),7675
2014,Australia,Angola,Asylum-seekers,
2014,Australia,Angola,Refugees (incl. refugee-like situations),*
2014,Australia,Albania,Asylum-seekers,46
2014,Australia,Albania,Refugees (incl. refugee-like situations),65
2014,Australia,United Arab Emirates,Asylum-seekers,*
2014,Australia,United Arab Emirates,Refugees (incl. refugee-like situations),5
2014,Australia,Argentina,Asylum-seekers,
2014,Australia,Argentina,Refugees (incl. refugee-like situations),*
2014,Australia,Armenia,Asylum-seekers,*
2014,Australia,Armenia,Refugees (incl. refugee-like situations),*
2014,Australia,Austria,Asylum-seekers,*
2014,Australia,Austria,Refugees (incl. refugee-like situations),
2014,Australia,Azerbaijan,Asylum-seekers,*
2014,Australia,Azerbaijan,Refugees (incl. refugee-like situations),*
2014,Australia,Burundi,Asylum-seekers,26
2014,Australia,Burundi,Refugees (incl. refugee-like situations),27
2014,Australia,Belgium,Asylum-seekers,5
2014,Australia,Belgium,Refugees (incl. refugee-like situations),
2014,Australia,Benin,Asylum-seekers,
2014,Australia,Benin,Refugees (incl. refugee-like situations),*
2014,Australia,Bangladesh,Asylum-seekers,809
2014,Australia,Bangladesh,Refugees (incl. refugee-like situations),351
2014,Australia,Bulgaria,Asylum-seekers,
2014,Australia,Bulgaria,Refugees (incl. refugee-like situations),*
2014,Australia,Bahrain,Asylum-seekers,19
2014,Australia,Bahrain,Refugees (incl. refugee-like situations),91
2014,Australia,Bosnia and Herzegovina,Asylum-seekers,
2014,Australia,Bosnia and Herzegovina,Refugees (incl. refugee-like situations),*
2014,Australia,Belarus,Asylum-seekers,*
2014,Australia,Belarus,Refugees (incl. refugee-like situations),*
2014,Australia,Brazil,Asylum-seekers,21
2014,Australia,Brazil,Refugees (incl. refugee-like situations),*
2014,Australia,Bhutan,Asylum-seekers,8
2014,Australia,Bhutan,Refugees (incl. refugee-like situations),*
2014,Australia,Botswana,Asylum-seekers,*
2014,Australia,Botswana,Refugees (incl. refugee-like situations),*
2014,Australia,Central African Rep.,Asylum-seekers,*
2014,Australia,Central African Rep.,Refugees (incl. refugee-like situations),*
2014,Australia,Canada,Asylum-seekers,*
2014,Australia,Canada,Refugees (incl. refugee-like situations),
2014,Australia,Chile,Asylum-seekers,*
2014,Australia,Chile,Refugees (incl. refugee-like situations),*
2014,Australia,China,Asylum-seekers,2485
2014,Australia,China,Refugees (incl. refugee-like situations),2883
2014,Australia,Côte d'Ivoire,Asylum-seekers,*
2014,Australia,Côte d'Ivoire,Refugees (incl. refugee-like situations),7
2014,Australia,Cameroon,Asylum-seekers,18
2014,Australia,Cameroon,Refugees (incl. refugee-like situations),52
2014,Australia,Dem. Rep. of the Congo,Asylum-seekers,34
2014,Australia,Dem. Rep. of the Congo,Refugees (incl. refugee-like situations),30
2014,Australia,Congo,Asylum-seekers,5
2014,Australia,Congo,Refugees (incl. refugee-like situations),16
2014,Australia,Colombia,Asylum-seekers,71
2014,Australia,Colombia,Refugees (incl. refugee-like situations),135
2014,Australia,Costa Rica,Asylum-seekers,*
2014,Australia,Costa Rica,Refugees (incl. refugee-like situations),
2014,Australia,Cuba,Asylum-seekers,*
2014,Australia,Cuba,Refugees (incl. refugee-like situations),*
2014,Australia,Cyprus,Asylum-seekers,*
2014,Australia,Cyprus,Refugees (incl. refugee-like situations),
2014,Australia,Czech Rep.,Asylum-seekers,*
2014,Australia,Czech Rep.,Refugees (incl. refugee-like situations),*
2014,Australia,Germany,Asylum-seekers,*
2014,Australia,Germany,Refugees (incl. refugee-like situations),5
2014,Australia,Djibouti,Asylum-seekers,*
2014,Australia,Djibouti,Refugees (incl. refugee-like situations),*
2014,Australia,Denmark,Asylum-seekers,
2014,Australia,Denmark,Refugees (incl. refugee-like situations),*
2014,Australia,Algeria,Asylum-seekers,7
2014,Australia,Algeria,Refugees (incl. refugee-like situations),13
2014,Australia,Ecuador,Asylum-seekers,*
2014,Australia,Ecuador,Refugees (incl. refugee-like situations),*
2014,Australia,Egypt,Asylum-seekers,687
2014,Australia,Egypt,Refugees (incl. refugee-like situations),1370
2014,Australia,Eritrea,Asylum-seekers,28
2014,Australia,Eritrea,Refugees (incl. refugee-like situations),109
2014,Australia,Western Sahara,Asylum-seekers,*
2014,Australia,Western Sahara,Refugees (incl. refugee-like situations),
2014,Australia,Estonia,Asylum-seekers,*
2014,Australia,Estonia,Refugees (incl. refugee-like situations),
2014,Australia,Ethiopia,Asylum-seekers,163
2014,Australia,Ethiopia,Refugees (incl. refugee-like situations),229
2014,Australia,Fiji,Asylum-seekers,657
2014,Australia,Fiji,Refugees (incl. refugee-like situations),359
2014,Australia,France,Asylum-seekers,*
2014,Australia,France,Refugees (incl. refugee-like situations),*
2014,Australia,United Kingdom,Asylum-seekers,9
2014,Australia,United Kingdom,Refugees (incl. refugee-like situations),*
2014,Australia,Georgia,Asylum-seekers,22
2014,Australia,Georgia,Refugees (incl. refugee-like situations),10
2014,Australia,Ghana,Asylum-seekers,55
2014,Australia,Ghana,Refugees (incl. refugee-like situations),32
2014,Australia,Guinea,Asylum-seekers,10
